,,exercise,public,safe,help
,전 체,6.55,6.39,6.31,5.34
성별,남성,6.54,6.35,6.32,5.33
,여성,6.56,6.42,6.29,5.35
연령별,10대,6.89,6.58,6.21,5.36
,20대,6.35,6.36,6.07,5.03
,30대,6.25,6.09,6.11,5.07
,40대,6.35,6.12,6.27,5.1
,50대,6.7,6.5,6.44,5.48
,60세 이상,6.86,6.7,6.55,5.8
학력별,중학교 이하,6.72,6.61,6.5,5.81
,고졸 이하,6.62,6.55,6.25,5.46
,대졸 이하,6.47,6.28,6.26,5.19
,대학원 이상,6.47,6.05,6.56,4.9
지역별,종로구,6.34,6.43,6.21,5.47
,중구,6.43,6.39,6.25,5.23
,용산구,6.44,6.62,6.17,5.58
,성동구,6.71,6.49,6.26,5.41
,광진구,6.45,6.47,6.1,5.29
,동대문구,6.38,6.26,6.14,5.07
,중랑구,6.41,6.4,6.08,5.08
,성북구,6.33,6.38,6.07,5.56
,강북구,6.42,6.48,6.17,5.5
,도봉구,6.35,6.28,6.18,5.29
,노원구,6.66,6.59,6.3,5.06
,은평구,6.81,6.45,6.5,5.41
,서대문구,6.75,6.63,6.55,5.6
,마포구,6.75,6.59,6.33,5.21
,양천구,6.41,6.43,6.45,5.51
,강서구,6.38,6.34,6.35,5.19
,구로구,6.57,6.62,6.28,5.37
,금천구,6.11,6.28,6.13,5
,영등포구,6.52,6.38,6.08,5.01
,동작구,6.45,6.45,6.13,5.3
,관악구,6.39,6.48,6.15,5.09
,서초구,6.76,6.76,6.47,5.42
,강남구,6.9,4.49,6.76,5.51
,송파구,6.79,6.69,6.48,5.63
,강동구,6.63,6.8,6.52,5.67
권역별,도심권,6.41,6.51,6.2,5.45
,동북권,6.47,6.43,6.17,5.27
,서북권,6.77,6.54,6.46,5.4
,서남권,6.42,6.43,6.24,5.22
,동남권,6.78,6.16,6.56,5.57
직업별,관리 전문직,6.39,6.12,6.37,5.05
,화이트 칼라,6.48,6.28,6.3,5.27
,블루 칼라,6.49,6.44,6.2,5.36
,기타,6.69,6.54,6.36,5.48
