,,ⓞ 전혀 만족 하지 않는다,①,②,③,④,⑤,⑥,⑦,⑧,⑨,⑩ 매우 만족 한다,10점 평균
,전체,0.6,0.5,1.2,3.4,6.3,16.6,20.5,25.1,18.3,6.5,1.1,6.36
성별,남성,0.7,0.5,1.3,3.4,6.4,16.7,20.4,24.9,18.1,6.5,1.2,6.34
,여성,0.5,0.5,1.2,3.3,6.3,16.5,20.5,25.2,18.5,6.5,1.1,6.37
연령별,10대,0,0,0,0.6,4.2,13.6,19,30.3,22.5,8.5,1.3,6.82
,20대,0.4,0.2,0.7,3.4,5.7,15.1,19.9,27.9,18.6,6.6,1.5,6.48
,30대,0.7,1.1,1.3,3.7,7.1,17.6,19.4,23.8,17.5,6.2,1.5,6.26
,40대,1.2,0.6,1.4,4.2,7.1,18.1,20.1,22.8,18,5.2,1.2,6.18
,50대,0.6,0.6,1.4,3.7,6.3,16.1,21.5,24.5,17.3,6.8,1,6.31
,60대 이상,0.3,0.2,1.4,2.8,5.9,16.6,21.5,25.1,18.7,7,0.5,6.41
학력별,중학교 이하,0.3,0.6,2.1,3.2,6.7,17.9,21.3,24.6,17,6.3,0.2,6.25
,고졸 이하,0.8,0.6,1.2,3.8,6.2,16.4,21.2,24.4,17.8,6.4,1.2,6.31
,대졸 이하,0.5,0.4,0.9,3.3,6.3,16.3,20.1,25.9,18.8,6.5,1.1,6.4
,대학원 이상,1.4,0.8,1.7,2.5,6.4,16.5,18.3,22.1,19.4,8,2.9,6.4
지역별,종로구,0.6,0.6,0.7,2.2,4.1,18.3,23.2,23.8,20,5.7,0.8,6.41
,중구,0.1,0.4,1.7,5.1,7.1,16.9,22.5,26.2,12.2,5.5,2.2,6.2
,용산구,0.6,0.3,1.5,2.3,5.5,15.2,23,27.9,17.9,4.8,0.9,6.37
,성동구,0.3,0.4,0.8,3,4.7,19.5,22.6,23.7,18.2,5.9,1.2,6.38
,광진구,0.8,0.2,3.2,1.9,5,14.9,19.1,25.6,19.8,8.6,0.8,6.45
,동대문구,0.7,0.5,0.9,5.8,5.6,20.1,24.3,23.6,13.4,4.1,1,6.08
,중랑구,0.5,0.3,2.6,3.2,8.8,19,20.4,22.5,17,5,0.7,6.13
,성북구,0.5,0,0.6,2.9,7.5,17.7,16.5,26,19.8,7.7,0.8,6.45
,강북구,0.9,3,0.6,2,3.7,12.4,18.7,25.2,23.5,9,1.2,6.56
,도봉구,0.6,0.5,1.1,3.2,6.7,17.7,28.1,25.5,11.9,3.3,1.4,6.14
,노원구,0.3,0.8,1.5,3.6,7.3,14.4,21.1,28.6,16.6,5.3,0.5,6.28
,은평구,0.7,0.8,0.9,2.8,9.9,15.6,22.9,23.2,17.1,5.6,0.4,6.2
,서대문구,1.2,0.9,1.1,3.8,7.4,15.9,20.1,23.8,20,5.6,0.2,6.23
,마포구,0.6,0.3,1.1,5.5,8,13.5,12.9,22.4,27.3,7.1,1.3,6.48
,양천구,1,0.1,0.6,3.9,3.5,15.3,19.5,27.1,21.7,6.1,1.1,6.5
,강서구,0.9,0.4,2.4,3.6,5.3,17.7,24.5,25.7,13.9,4.5,1.3,6.16
,구로구,0.9,0.4,1.4,2.6,5.8,21.6,24.8,22.2,9.9,8.6,1.9,6.22
,금천구,1.5,0.4,1.5,3.5,6.9,19.9,21.9,24,14.3,4.7,1.3,6.11
,영등포구,0.7,0.6,0.5,2,7.2,15.8,18.8,23.7,20,10,0.6,6.51
,동작구,0.2,0.5,0.5,5.3,6,16.5,21.3,25.6,15,6.9,2.2,6.35
,관악구,0.3,0.9,1,4.1,5.8,18.6,20.9,21.8,20.7,5.5,0.2,6.28
,서초구,0.2,0.1,0.5,2.2,4.8,15.8,22,24.6,20.1,8.2,1.5,6.6
,강남구,0.3,0.3,0.3,2.2,5.9,17.1,16.2,24.3,22,9.6,1.8,6.65
,송파구,0.5,0.1,1.1,3.3,6.7,13.2,16.8,27,20.4,8.9,2.1,6.59
,강동구,0.4,0.2,2,4.3,6.4,15.1,17.3,30.4,19.9,3.2,0.7,6.31
권역별,도심권,0.5,0.4,1.3,3,5.5,16.6,22.9,26.3,17.1,5.2,1.2,6.34
,동북권,0.6,0.7,1.4,3.2,6.4,16.9,21.1,25.3,17.5,6.1,0.9,6.3
,서북권,0.8,0.7,1,3.9,8.6,15,19,23.1,21.1,6.1,0.6,6.3
,서남권,0.7,0.5,1.2,3.6,5.6,17.8,21.8,24.4,16.6,6.5,1.2,6.31
,동남권,0.3,0.2,1,3,6,15.1,17.8,26.6,20.6,7.7,1.6,6.55
직업별,관리전문직,0.8,0.4,1.1,3.2,5.8,17.4,18.9,24.9,18.7,6.7,2.1,6.41
,화이트칼라,0.4,0.3,0.8,3.3,6.4,16.1,20.4,26.2,18.2,6.6,1.3,6.41
,블루칼라,0.8,0.9,1.8,4.1,8.3,17.3,21.5,22.7,16.4,5.4,0.7,6.12
,기타,0.6,0.4,1.2,3,5.3,16.3,20.4,25.5,19.4,7,0.9,6.42
