,,종합,버스,지하철,택시
,전 체,6.81,7.2,7.3,5.86
성별,남성,6.8,7.19,7.32,5.82
,여성,6.82,7.21,7.28,5.88
연령별,10대,6.54,6.86,6.98,5.68
,20대,6.84,7.21,7.32,5.92
,30대,6.74,7.18,7.32,5.66
,40대,6.8,7.28,7.49,5.58
,50대,6.88,7.27,7.4,5.91
,60세 이상,6.84,7.17,7.12,6.15
학력별,중학교 이하,6.83,7.12,7.1,6.19
,고졸 이하,6.72,7.14,7.08,5.88
,대졸 이하,6.84,7.23,7.42,5.8
,대학원 이상,6.93,7.43,7.86,5.43
지역별,종로구,6.71,6.95,7.24,5.93
,중구,7.03,7.44,7.45,6.15
,용산구,6.79,7.08,7.25,5.98
,성동구,6.72,6.99,7.19,5.9
,광진구,6.68,7.13,7.17,5.74
,동대문구,6.68,7.32,7.16,5.54
,중랑구,6.84,7.02,7.37,6.11
,성북구,7.01,7.53,7.55,5.88
,강북구,6.47,6.69,6.9,5.75
,도봉구,6.81,7.13,7.2,6.02
,노원구,6.69,7.13,7.2,5.65
,은평구,6.75,7.13,7.28,5.76
,서대문구,6.88,7.27,7.39,5.97
,마포구,6.71,7.12,7.26,5.7
,양천구,6.69,7.21,7.06,5.74
,강서구,7.08,7.37,7.5,6.14
,구로구,7.13,7.48,7.6,6.25
,금천구,6.77,7.22,6.96,6.01
,영등포구,6.58,6.91,7.07,5.64
,동작구,6.61,7.18,7.26,5.38
,관악구,6.85,7.35,7.19,5.96
,서초구,6.77,7.29,7.34,5.62
,강남구,6.94,7.26,7.6,5.97
,송파구,6.85,7.21,7.39,5.85
,강동구,6.9,7.23,7.45,6.01
권역별,도심권,6.82,7.13,7.3,6.01
,동북권,6.75,7.14,7.23,5.82
,서북권,6.78,7.17,7.3,5.8
,서남권,6.84,7.26,7.27,5.88
,동남권,6.87,7.24,7.45,5.87
직업별,관리 전문직,6.9,7.34,7.67,5.63
,화이트 칼라,6.83,7.24,7.35,5.86
,블루 칼라,6.7,7.08,7.1,5.86
,기타,6.82,7.19,7.26,5.91
